general;1252250;1341708;1258630;1345739;1265694;1354909;1271599;1362414;1255605;1343200;1269913;1360500;1255711;1345314;1276886;1367949;1261926;1352966;1258529;1347944;1264411;1355003;1258133;1345705;species_consumer_generic0;normal;commercial;1;1793;1793;1590;1590;1613;1613;1830;1830;1961;1961;1670;1670;1936;1936;1640;1640;1626;1626;1738;1738;1970;1970;1914;1914;
 species_consumer_generic29;normal;residential;5;932;932;882;882;853;853;637;637;810;810;671;671;872;872;876;876;577;577;776;776;864;864;618;618;
 species_consumer_generic30;normal;residential;3;322;322;308;308;364;364;376;376;351;351;350;350;355;355;339;339;340;340;398;398;324;324;375;375;
 species_consumer_generic31;irregular;commercial;4;4944;7416;5237;7855;4982;7473;4235;6352;4194;6291;4540;6810;4920;7380;4519;6778;4461;6691;5003;7504;4809;7213;4484;6726;
 species_consumer_generic32;irregular;residential;5;572;858;737;1105;817;1225;656;984;589;883;801;1201;542;813;953;1429;554;831;518;777;948;1422;705;1057;
 species_consumer_generic33;normal;residential;3;335;335;395;395;351;351;325;325;337;337;357;357;344;344;360;360;357;357;371;371;352;352;338;338;
 species_consumer_generic34;irregular;residential;3;343;514;337;505;342;513;350;525;331;496;332;498;399;598;366;549;328;492;367;550;322;483;301;451;
 species_consumer_generic35;normal;residential;2;267;267;256;256;287;287;248;248;218;218;221;221;210;210;212;212;240;240;243;243;259;259;212;212;
 species_consumer_generic36;normal;residential;4;473;473;405;405;495;495;476;476;437;437;481;481;444;444;416;416;487;487;411;411;406;406;475;475;
 species_consumer_generic37;irregular;commercial;1;1685;2527;1906;2859;1663;2494;1808;2712;1565;2347;1896;2844;1524;2286;1790;2685;1737;2605;1640;2460;1674;2511;1502;2253;
 species_consumer_generic38;normal;residential;5;683;683;996;996;744;744;953;953;834;834;744;744;748;748;887;887;704;704;961;961;830;830;778;778;
 species_consumer_generic39;normal;commercial;5;5567;5567;5611;5611;6367;6367;5663;5663;6186;6186;7245;7245;7742;7742;6416;6416;5894;5894;7631;7631;7277;7277;5789;5789;
 species_consumer_generic40;normal;residential;0;82;82;98;98;71;71;68;68;57;57;54;54;58;58;63;63;56;56;99;99;61;61;69;69;
 species_consumer_generic41;normal;residential;4;470;470;439;439;477;477;465;465;447;447;500;500;467;467;455;455;476;476;480;480;484;484;437;437;
 species_consumer_generic42;normal;residential;4;441;441;414;414;460;460;481;481;473;473;405;405;430;430;403;403;481;481;412;412;415;415;410;410;
 species_consumer_generic43;normal;commercial;3;3572;3572;3969;3969;3696;3696;3392;3392;3352;3352;3988;3988;3475;3475;3762;3762;3861;3861;3701;3701;3405;3405;3231;3231;
 species_consumer_generic44;normal;residential;0;72;72;80;80;79;79;96;96;60;60;86;86;53;53;92;92;50;50;54;54;77;77;95;95;
 species_consumer_generic45;normal;residential;3;370;370;344;344;389;389;342;342;366;366;320;320;335;335;317;317;354;354;382;382;321;321;317;317;
 species_consumer_generic46;normal;residential;4;480;480;451;451;480;480;430;430;440;440;494;494;448;448;488;488;467;467;467;467;464;464;428;428;
 species_consumer_generic47;normal;commercial;1;1966;1966;1653;1653;1696;1696;1816;1816;1823;1823;1941;1941;1983;1983;1877;1877;1978;1978;1763;1763;1524;1524;1705;1705;
